AdmitTerm,School,Program,NationalStatus,AdmissionPathway,Enrolled,Retained
Fall 2018,School C,CQK,INTERNATIONAL,Direct Entry,2,2

Fall 2018,School C,CQK,INTERNATIONAL,Transfer,2,1

Fall 2018,School C,FOR,DOMESTIC,Direct Entry,24,21

Fall 2018,School C,FOR,DOMESTIC,Transfer,11,10

Fall 2018,School C,FOR,INTERNATIONAL,Direct Entry,11,10

Fall 2018,School C,HIQ,DOMESTIC,Direct Entry,12,10

Fall 2018,School C,HIQ,DOMESTIC,Transfer,6,5

Fall 2018,School C,HIQ,INTERNATIONAL,Direct Entry,1,1

Fall 2018,School C,LBR,DOMESTIC,Direct Entry,14,8

Fall 2018,School C,LBR,DOMESTIC,Transfer,6,4

Fall 2018,School C,NOS,DOMESTIC,Direct Entry,16,14

Fall 2018,School C,NOS,DOMESTIC,Transfer,7,6

Fall 2018,School C,NOS,INTERNATIONAL,Direct Entry,3,3

Fall 2018,School C,UVZ,DOMESTIC,Direct Entry,32,29

Fall 2018,School C,UVZ,DOMESTIC,Transfer,14,13

Fall 2018,School C,YXQ,DOMESTIC,Direct Entry,32,32

Fall 2018,School C,YXQ,DOMESTIC,Transfer,11,10

Fall 2018,School C,YXQ,INTERNATIONAL,Direct Entry,6,4

Fall 2018,School C,YXQ,INTERNATIONAL,Transfer,3,2

Fall 2018,School D,CMX,DOMESTIC,Direct Entry,17,16

Fall 2018,School D,CMX,DOMESTIC,Transfer,5,4

Fall 2018,School D,HPA,DOMESTIC,Direct Entry,23,21

Fall 2018,School D,HPA,DOMESTIC,Transfer,8,7

Fall 2018,School D,IAU,DOMESTIC,Direct Entry,11,9

Fall 2018,School D,IAU,DOMESTIC,Transfer,6,5

Fall 2018,School D,JRA,DOMESTIC,Direct Entry,31,24

